date,home_team,away_team,home_score,away_score
2016-09-13,FC Basel 1893,PFC Ludogorets Razgrad,1,1
2016-09-13,Paris Saint-Germain,Arsenal FC,1,1
2016-09-28,Arsenal FC,FC Basel 1893,2,0
2016-09-28,PFC Ludogorets Razgrad,Paris Saint-Germain,1,3
2016-10-19,Arsenal FC,PFC Ludogorets Razgrad,6,0
2016-10-19,Paris Saint-Germain,FC Basel 1893,3,0
2016-11-01,FC Basel 1893,Paris Saint-Germain,1,2
2016-11-01,PFC Ludogorets Razgrad,Arsenal FC,2,3
2016-11-23,Arsenal FC,Paris Saint-Germain,2,2
2016-11-23,PFC Ludogorets Razgrad,FC Basel 1893,0,0
2016-12-06,FC Basel 1893,Arsenal FC,1,4
2016-12-06,Paris Saint-Germain,PFC Ludogorets Razgrad,2,2
2016-09-13,Dinamo Kiev,SSC Napoli,1,2
2016-09-13,SL Benfica,Beşiktaş,1,1
2016-09-28,Beşiktaş,Dinamo Kiev,1,1
2016-09-28,SSC Napoli,SL Benfica,4,2
2016-10-19,Dinamo Kiev,SL Benfica,0,2
2016-10-19,SSC Napoli,Beşiktaş,2,3
2016-11-01,Beşiktaş,SSC Napoli,1,1
2016-11-01,SL Benfica,Dinamo Kiev,1,0
2016-11-23,Beşiktaş,SL Benfica,3,3
2016-11-23,SSC Napoli,Dinamo Kiev,0,0
2016-12-06,Dinamo Kiev,Beşiktaş,6,0
2016-12-06,SL Benfica,SSC Napoli,1,2
2016-09-13,FC Barcelona,Celtic FC,7,0
2016-09-14,Manchester City,Bor. Mönchengladbach,4,0
2016-09-28,Bor. Mönchengladbach,FC Barcelona,1,2
2016-09-28,Celtic FC,Manchester City,3,3
2016-10-19,Celtic FC,Bor. Mönchengladbach,0,2
2016-10-19,FC Barcelona,Manchester City,4,0
2016-11-01,Bor. Mönchengladbach,Celtic FC,1,1
2016-11-01,Manchester City,FC Barcelona,3,1
2016-11-23,Bor. Mönchengladbach,Manchester City,1,1
2016-11-23,Celtic FC,FC Barcelona,0,2
2016-12-06,FC Barcelona,Bor. Mönchengladbach,4,0
2016-12-06,Manchester City,Celtic FC,1,1
2016-09-13,Bayern München,FK Rostov,5,0
2016-09-13,PSV Eindhoven,Atlético Madrid,0,1
2016-09-28,Atlético Madrid,Bayern München,1,0
2016-09-28,FK Rostov,PSV Eindhoven,2,2
2016-10-19,Bayern München,PSV Eindhoven,4,1
2016-10-19,FK Rostov,Atlético Madrid,0,1
2016-11-01,Atlético Madrid,FK Rostov,2,1
2016-11-01,PSV Eindhoven,Bayern München,1,2
2016-11-23,FK Rostov,Bayern München,3,2
2016-11-23,Atlético Madrid,PSV Eindhoven,2,0
2016-12-06,Bayern München,Atlético Madrid,1,0
2016-12-06,PSV Eindhoven,FK Rostov,0,0
2016-09-14,Bayer Leverkusen,CSKA Moskva,2,2
2016-09-14,Tottenham Hotspur,AS Monaco,1,2
2016-09-27,AS Monaco,Bayer Leverkusen,1,1
2016-09-27,CSKA Moskva,Tottenham Hotspur,0,1
2016-10-18,Bayer Leverkusen,Tottenham Hotspur,0,0
2016-10-18,CSKA Moskva,AS Monaco,1,1
2016-11-02,AS Monaco,CSKA Moskva,3,0
2016-11-02,Tottenham Hotspur,Bayer Leverkusen,0,1
2016-11-22,CSKA Moskva,Bayer Leverkusen,1,1
2016-11-22,AS Monaco,Tottenham Hotspur,2,1
2016-12-07,Bayer Leverkusen,AS Monaco,3,0
2016-12-07,Tottenham Hotspur,CSKA Moskva,3,1
2016-09-14,Legia Warszawa,Borussia Dortmund,0,6
2016-09-14,Real Madrid,Sporting CP,2,1
2016-09-27,Borussia Dortmund,Real Madrid,2,2
2016-09-27,Sporting CP,Legia Warszawa,2,0
2016-10-18,Real Madrid,Legia Warszawa,5,1
2016-10-18,Sporting CP,Borussia Dortmund,1,2
2016-11-02,Borussia Dortmund,Sporting CP,1,0
2016-11-02,Legia Warszawa,Real Madrid,3,3
2016-11-22,Borussia Dortmund,Legia Warszawa,8,4
2016-11-22,Sporting CP,Real Madrid,1,2
2016-12-07,Legia Warszawa,Sporting CP,1,0
2016-12-07,Real Madrid,Borussia Dortmund,2,2
2016-09-14,Club Brugge KV,Leicester City,0,3
2016-09-14,FC Porto,FC København,1,1
2016-09-27,FC København,Club Brugge KV,4,0
2016-09-27,Leicester City,FC Porto,1,0
2016-10-18,Club Brugge KV,FC Porto,1,2
2016-10-18,Leicester City,FC København,1,0
2016-11-02,FC København,Leicester City,0,0
2016-11-02,FC Porto,Club Brugge KV,1,0
2016-11-22,FC København,FC Porto,0,0
2016-11-22,Leicester City,Club Brugge KV,2,1
2016-12-07,Club Brugge KV,FC København,0,2
2016-12-07,FC Porto,Leicester City,5,0
2016-09-14,Juventus,Sevilla FC,0,0
2016-09-14,Olympique Lyonnais,Dinamo Zagreb,3,0
2016-09-27,Dinamo Zagreb,Juventus,0,4
2016-09-27,Sevilla FC,Olympique Lyonnais,1,0
2016-10-18,Dinamo Zagreb,Sevilla FC,0,1
2016-10-18,Olympique Lyonnais,Juventus,0,1
2016-11-02,Juventus,Olympique Lyonnais,1,1
2016-11-02,Sevilla FC,Dinamo Zagreb,4,0
2016-11-22,Dinamo Zagreb,Olympique Lyonnais,0,1
2016-11-22,Sevilla FC,Juventus,1,3
2016-12-07,Juventus,Dinamo Zagreb,2,0
2016-12-07,Olympique Lyonnais,Sevilla FC,0,0
2017-02-14,SL Benfica,Borussia Dortmund,1,0
2017-02-14,Paris Saint-Germain,FC Barcelona,4,0
2017-02-15,Real Madrid,SSC Napoli,3,1
2017-02-15,Bayern München,Arsenal FC,5,1
2017-02-21,Manchester City,AS Monaco,5,3
2017-02-21,Bayer Leverkusen,Atlético Madrid,2,4
2017-02-22,FC Porto,Juventus,0,2
2017-02-22,Sevilla FC,Leicester City,2,1
2017-03-07,SSC Napoli,Real Madrid,1,3
2017-03-07,Arsenal FC,Bayern München,1,5
2017-03-08,Borussia Dortmund,SL Benfica,4,0
2017-03-08,FC Barcelona,Paris Saint-Germain,6,1
2017-03-14,Juventus,FC Porto,1,0
2017-03-14,Leicester City,Sevilla FC,2,0
2017-03-15,AS Monaco,Manchester City,3,1
2017-03-15,Atlético Madrid,Bayer Leverkusen,0,0
2017-04-11,Juventus,FC Barcelona,3,0
2017-04-12,Borussia Dortmund,AS Monaco,2,3
2017-04-12,Atlético Madrid,Leicester City,1,0
2017-04-12,Bayern München,Real Madrid,1,2
2017-04-18,Leicester City,Atlético Madrid,1,1
2017-04-18,Real Madrid,Bayern München,4,2
2017-04-19,FC Barcelona,Juventus,0,0
2017-04-19,AS Monaco,Borussia Dortmund,3,1
2017-05-02,Real Madrid,Atlético Madrid,3,0
2017-05-03,AS Monaco,Juventus,0,2
2017-05-09,Juventus,AS Monaco,2,1
2017-05-10,Atlético Madrid,Real Madrid,2,1
2017-06-03,Juventus,Real Madrid,1,4
