date,home_team,away_team,home_goals,away_goals,competition,season
2019-08-10,Hannover,Schalke,0,1,BL1,2019
2019-08-13,Gladbach,Mainz,0,0,BL1,2019
2019-08-16,Schalke,Bochum,4,3,BL1,2019
2019-08-19,Bremen,Hannover,0,1,BL1,2019
2019-08-22,Bayern,Bremen,1,0,BL1,2019
2019-08-25,Bayern,Leverkusen,0,0,BL1,2019
2019-08-28,Koeln,Leverkusen,3,2,BL1,2019
2019-08-31,Augsburg,Mainz,2,3,BL1,2019
2019-09-03,Schalke,Hannover,0,0,BL1,2019
2019-09-06,Union Berlin,Schalke,0,2,BL1,2019
2019-09-09,Wolfsburg,Schalke,4,0,BL1,2019
2019-09-12,Hertha,Dortmund,1,0,BL1,2019
2019-09-15,Union Berlin,Bayern,3,3,BL1,2019
2019-09-18,Hertha,Bayern,5,3,BL1,2019
2019-09-21,Bremen,Schalke,2,0,BL1,2019
2019-09-24,Freiburg,Hertha,3,0,BL1,2019
2019-09-27,Leipzig,Union Berlin,3,1,BL1,2019
2019-09-30,Gladbach,Dortmund,3,1,BL1,2019
2019-10-03,Wolfsburg,Gladbach,0,2,BL1,2019
2019-10-06,Stuttgart,Hertha,0,2,BL1,2019
2019-10-09,Leipzig,Frankfurt,2,0,BL1,2019
2019-10-12,Stuttgart,Leverkusen,3,0,BL1,2019
2019-10-15,Leipzig,Hamburg,0,3,BL1,2019
2019-10-18,Bayern,Augsburg,0,0,BL1,2019
2019-10-21,Koeln,Union Berlin,0,0,BL1,2019
2019-10-24,Leipzig,Mainz,2,5,BL1,2019
2019-10-27,Hoffenheim,Hamburg,0,2,BL1,2019
2019-10-30,Leipzig,Freiburg,0,7,BL1,2019
2019-11-02,Leverkusen,Bremen,1,2,BL1,2019
2019-11-05,Mainz,Union Berlin,0,3,BL1,2019
2019-11-08,Union Berlin,Freiburg,0,7,BL1,2019
2019-11-11,Mainz,Dortmund,0,0,BL1,2019
2019-11-14,Hannover,Hoffenheim,0,1,BL1,2019
2019-11-17,Bochum,Frankfurt,0,1,BL1,2019
2019-11-20,Gladbach,Union Berlin,1,0,BL1,2019
2019-11-23,Union Berlin,Hannover,1,0,BL1,2019
2019-11-26,Augsburg,Stuttgart,1,0,BL1,2019
2019-11-29,Bremen,Gladbach,2,1,BL1,2019
2019-12-02,Mainz,Hertha,2,1,BL1,2019
2019-12-05,Union Berlin,Bremen,1,0,BL1,2019
2019-12-08,Gladbach,Freiburg,0,2,BL1,2019
2019-12-11,Frankfurt,Dortmund,0,0,BL1,2019
2019-12-14,Hamburg,Augsburg,4,1,BL1,2019
2019-12-17,Hertha,Koeln,0,0,BL1,2019
2019-12-20,Schalke,Freiburg,1,1,BL1,2019
2019-12-23,Hannover,Augsburg,0,0,BL1,2019
2019-12-26,Hannover,Leipzig,0,3,BL1,2019
2019-12-29,Mainz,Freiburg,1,5,BL1,2019
2020-01-01,Schalke,Dortmund,1,0,BL1,2019
2020-01-04,Bremen,Leipzig,0,0,BL1,2019
2020-01-07,Mainz,Bochum,0,0,BL1,2019
2020-01-10,Dortmund,Hertha,0,1,BL1,2019
2020-01-13,Hamburg,Koeln,1,0,BL1,2019
2020-01-16,Hamburg,Hoffenheim,0,0,BL1,2019
2020-01-19,Mainz,Bremen,3,1,BL1,2019
2020-01-22,Leipzig,Dortmund,0,0,BL1,2019
2020-01-25,Dortmund,Bochum,0,1,BL1,2019
2020-01-28,Freiburg,Stuttgart,1,3,BL1,2019
2020-01-31,Koeln,Freiburg,1,2,BL1,2019
2020-02-03,Wolfsburg,Dortmund,0,0,BL1,2019
2020-02-06,Mainz,Leipzig,0,0,BL1,2019
2020-02-09,Leverkusen,Leipzig,0,2,BL1,2019
2020-02-12,Hamburg,Wolfsburg,0,1,BL1,2019
2020-02-15,Freiburg,Union Berlin,2,0,BL1,2019
2020-02-18,Leipzig,Bayern,1,1,BL1,2019
2020-02-21,Hertha,Leipzig,0,1,BL1,2019
2020-02-24,Leipzig,Koeln,0,1,BL1,2019
2020-02-27,Koeln,Hertha,2,0,BL1,2019
2020-03-01,Frankfurt,Augsburg,1,0,BL1,2019
2020-03-04,Leverkusen,Hannover,4,0,BL1,2019
