date,home_team,away_team,home_goals,away_goals,tournament,stage,round,group,status,winner,neutral
2022-11-20,Qatar,Ecuador,0,2,FIFA World Cup,group,Matchday 1,Group A,finished,away,TRUE
2022-11-21,Senegal,Netherlands,0,2,FIFA World Cup,group,Matchday 2,Group A,finished,away,TRUE
2022-11-25,Qatar,Senegal,1,3,FIFA World Cup,group,Matchday 6,Group A,finished,away,TRUE
2022-11-25,Netherlands,Ecuador,1,1,FIFA World Cup,group,Matchday 6,Group A,finished,draw,TRUE
2022-11-29,Ecuador,Senegal,1,2,FIFA World Cup,group,Matchday 10,Group A,finished,away,TRUE
2022-11-29,Netherlands,Qatar,2,0,FIFA World Cup,group,Matchday 10,Group A,finished,home,TRUE
2022-11-21,England,Iran,6,2,FIFA World Cup,group,Matchday 2,Group B,finished,home,TRUE
2022-11-21,USA,Wales,1,1,FIFA World Cup,group,Matchday 2,Group B,finished,draw,TRUE
2022-11-25,Wales,Iran,0,2,FIFA World Cup,group,Matchday 6,Group B,finished,away,TRUE
2022-11-25,England,USA,0,0,FIFA World Cup,group,Matchday 6,Group B,finished,draw,TRUE
2022-11-29,Wales,England,0,3,FIFA World Cup,group,Matchday 10,Group B,finished,away,TRUE
2022-11-29,Iran,USA,0,1,FIFA World Cup,group,Matchday 10,Group B,finished,away,TRUE
2022-11-22,Argentina,Saudi Arabia,1,2,FIFA World Cup,group,Matchday 3,Group C,finished,away,TRUE
2022-11-22,Mexico,Poland,0,0,FIFA World Cup,group,Matchday 3,Group C,finished,draw,TRUE
2022-11-26,Poland,Saudi Arabia,2,0,FIFA World Cup,group,Matchday 7,Group C,finished,home,TRUE
2022-11-26,Argentina,Mexico,2,0,FIFA World Cup,group,Matchday 7,Group C,finished,home,TRUE
2022-11-30,Poland,Argentina,0,2,FIFA World Cup,group,Matchday 11,Group C,finished,away,TRUE
2022-11-30,Saudi Arabia,Mexico,1,2,FIFA World Cup,group,Matchday 11,Group C,finished,away,TRUE
2022-11-22,Denmark,Tunisia,0,0,FIFA World Cup,group,Matchday 3,Group D,finished,draw,TRUE
2022-11-22,France,Australia,4,1,FIFA World Cup,group,Matchday 3,Group D,finished,home,TRUE
2022-11-26,Tunisia,Australia,0,1,FIFA World Cup,group,Matchday 7,Group D,finished,away,TRUE
2022-11-26,France,Denmark,2,1,FIFA World Cup,group,Matchday 7,Group D,finished,home,TRUE
2022-11-30,Australia,Denmark,1,0,FIFA World Cup,group,Matchday 11,Group D,finished,home,TRUE
